t,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,correct
32,1,1,1,1,2,1,1,1,2,1,1,1,2,2,3,2,2,3,2,4,2,3,2,2,2,3,3,1,518,852,1660,490,41,604,889,625,1234,1216,735,678,785,753,2
33,2,1,2,2,1,1,2,1,2,1,2,2,1,-1,2,1,3,3,1,4,2,2,3,2,3,2,3,1,1606,941,628,1274,169,924,1873,609,1297,1672,1431,462,1057,0,2
34,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,4,3,2,3,2,1,3,-1,2,3,-1,2,623,901,1404,562,257,1003,425,1369,1194,1440,1088,790,1673,1290,2
35,2,2,2,2,1,2,2,1,2,1,2,2,2,2,3,2,3,3,1,3,2,1,3,1,2,2,2,3,607,524,1620,1106,681,811,409,856,1002,1288,976,583,225,530,2
36,1,2,2,2,1,1,1,2,1,1,2,2,2,2,3,3,4,3,2,3,2,2,2,-1,2,2,3,2,894,492,820,586,761,979,1017,1752,1146,1544,727,935,738,730,1
37,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,3,4,4,4,3,3,4,1,2,-1,2,2,326,484,683,698,577,643,465,529,1274,928,711,878,865,1218,1
38,2,2,2,2,-1,2,2,1,1,1,2,2,1,2,3,4,2,4,-1,4,3,3,4,2,2,2,3,2,1142,548,1651,802,0,955,537,537,1874,1112,1719,606,225,1689,2
39,1,2,1,-1,1,2,2,2,2,2,2,1,1,2,1,3,3,2,3,3,2,2,2,2,2,2,2,1,710,476,796,0,25,1356,1266,945,1330,592,919,1046,609,777,1
40,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2,1,3,-1,1,4,2,3,3,1,2,1,3,2,862,661,1076,906,41,716,737,593,865,1248,1447,1454,657,1977,1
41,2,2,2,2,-1,1,1,1,1,2,2,2,2,2,3,2,3,3,-1,4,2,2,2,1,3,2,-1,4,535,508,836,378,0,1355,1329,625,1746,920,712,662,777,649,2
42,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1,3,2,2,2,3,2,3,2,1,2,1,2,3,823,516,1692,418,697,835,1033,608,1138,1592,1608,1375,921,810,2
43,1,2,2,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,4,2,3,2,1,1,2,3,1,510,636,1204,1962,257,811,1281,528,1386,1152,1007,615,1497,866,2
44,1,1,1,1,-1,1,1,2,1,1,1,1,1,2,3,3,3,2,2,4,3,3,2,2,1,1,2,2,526,516,419,586,0,619,409,577,1514,1552,1471,1198,906,1753,1
45,2,2,2,2,-1,2,2,1,1,1,2,2,1,2,3,3,3,3,1,4,3,3,4,1,2,2,3,2,1150,468,571,794,0,796,657,1249,1130,1528,647,622,737,1305,2
46,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,2,3,3,3,3,3,2,-1,3,3,3,990,453,1124,1634,97,716,617,825,1258,1176,727,502,601,729,1
47,2,2,-1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,3,2,4,2,2,4,1,1,2,2,1,1078,701,0,698,153,915,545,905,1233,1848,728,1470,1513,817,2
48,1,1,1,1,2,1,1,1,1,1,2,1,2,2,3,2,3,2,2,3,3,2,4,1,1,3,2,1,438,460,572,1450,329,547,409,1017,706,1144,1208,542,697,1050,2
49,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,3,2,1,3,2,2,2,2,2,367,540,548,1394,114,899,617,1032,922,968,888,1199,1409,858,1
50,1,1,1,1,1,1,1,2,1,2,1,1,2,1,3,3,3,3,3,4,3,4,4,1,-1,1,3,2,734,444,412,650,129,627,449,560,1042,1208,711,1095,425,1282,1
51,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,4,3,3,2,3,3,4,3,2,3,1,3,2,790,580,563,650,441,716,945,785,1698,1160,839,374,282,817,1
52,1,1,1,1,-1,1,1,2,2,2,1,2,2,1,3,4,3,2,1,4,2,4,3,2,1,1,4,1,678,477,620,674,0,692,713,609,834,1504,1159,726,577,1369,1
53,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3,3,3,2,-1,3,2,1,3,2,2,2,3,1,950,413,604,1114,1705,996,538,665,930,1088,967,1078,1241,857,2
54,1,2,2,2,-1,2,1,2,1,2,1,1,1,2,1,2,2,3,1,3,2,2,2,2,1,1,4,1,1175,805,716,890,0,963,801,1233,1338,1152,1408,1190,737,1170,1
55,1,1,1,1,-1,1,1,1,1,1,1,1,2,1,2,3,3,3,1,4,3,1,4,2,1,-1,2,3,751,444,500,610,0,595,561,665,1218,1088,1048,798,1281,1050,1
56,2,2,2,1,-1,1,2,2,2,1,2,2,2,2,2,2,3,2,-1,4,2,1,4,1,2,1,3,2,998,556,508,1778,0,651,993,1160,1074,1312,1447,1655,673,730,1
57,1,2,2,2,2,1,-1,1,2,2,1,1,2,2,3,1,1,2,2,3,1,1,3,1,1,2,3,2,518,892,763,1242,217,867,0,832,1098,1440,1159,1175,1417,793,2
58,2,1,2,2,2,2,2,1,2,2,2,2,1,2,3,1,3,3,1,4,3,1,2,2,2,3,2,3,862,508,835,706,185,556,713,617,810,832,791,655,1554,601,2
59,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,3,1,4,2,1,2,2,3,2,1,1,1158,605,1244,570,1833,772,298,1097,922,832,711,878,945,1577,2
60,1,2,2,1,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,4,2,4,2,2,2,1,2,1,934,564,1492,890,453,523,649,456,1334,988,1299,1267,773,1050,2
