t,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,correct
144,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,3,2,3,3,2,1,1,3,2,850,601,1020,902,137,628,570,877,910,1436,832,1150,910,817,2
145,2,2,2,2,-1,1,2,1,2,2,2,2,1,2,3,2,2,1,1,4,3,2,3,2,2,2,3,3,1386,369,724,1038,0,516,554,509,1286,452,624,646,462,554,2
146,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,3,1,2,4,1,1,3,1,2,1,3,3,1091,449,804,487,2,531,1025,941,743,1300,928,798,53,674,1
147,1,1,-1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,3,4,3,2,3,1,2,2,3,3,1363,528,0,695,242,491,433,541,807,1269,783,999,637,850,1
148,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,4,4,2,2,3,2,1,2,2,1,891,520,1044,462,74,420,1025,741,742,573,735,719,173,642,1
149,2,2,2,2,1,1,2,2,1,2,2,2,1,2,3,3,3,2,3,4,3,3,3,2,2,2,4,1,1323,441,788,814,42,380,593,789,718,652,783,583,1237,1057,1
150,1,1,1,-1,2,1,1,1,2,1,1,1,2,2,2,3,3,3,2,4,1,2,3,2,1,2,3,2,619,505,480,0,62,335,557,685,710,821,1263,799,585,1006,2
151,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,3,1,4,3,1,3,2,1,2,3,1,611,512,1128,450,886,440,421,965,1046,636,1192,1991,929,1422,1
152,1,1,1,2,-1,2,1,2,1,2,1,2,2,2,3,3,3,4,2,3,2,2,2,1,1,2,4,1,403,456,1200,554,0,472,421,1157,798,692,864,671,769,758,1
153,2,2,2,-1,1,1,1,2,2,1,2,2,2,2,3,3,2,4,3,4,2,1,3,1,2,3,3,2,443,361,1136,0,189,440,757,965,886,1228,752,655,682,534,2
154,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,4,2,2,3,2,1,2,3,1,1011,681,1072,227,5,448,582,901,894,532,1128,758,810,997,1
155,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,4,2,2,3,4,3,2,3,3,2,2,3,3,714,473,752,410,109,656,478,829,895,588,1127,750,1234,846,1
156,1,1,1,2,1,1,2,1,1,1,1,2,1,2,4,3,3,2,3,4,3,3,2,2,2,2,3,2,514,465,1440,458,293,327,550,829,1615,509,759,734,666,726,1
157,-1,1,2,-1,-1,1,2,1,-1,2,2,2,1,2,2,1,1,3,-1,4,2,2,1,1,2,2,4,3,0,545,712,0,0,463,877,701,0,693,775,615,721,630,2
158,2,1,1,-1,1,1,2,2,2,1,2,2,2,2,3,1,1,3,4,4,3,2,3,1,-1,2,3,1,539,520,392,0,542,392,669,853,702,964,848,671,937,574,2
159,1,1,1,2,2,1,1,2,1,1,1,1,1,1,3,3,2,3,3,4,2,2,3,3,1,2,3,2,475,464,1472,386,726,352,573,933,1054,588,704,1647,913,1494,1
160,1,2,2,2,1,1,2,1,-1,1,1,2,1,1,2,2,1,3,2,3,2,1,-1,2,1,2,3,2,891,505,864,243,182,440,757,1117,0,468,1432,751,1009,574,2
161,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,3,1,3,4,3,1,2,3,-1,3,3,2,859,553,984,315,29,400,422,773,438,356,776,534,922,533,1
162,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,-1,4,2,4,3,3,1,3,4,-1,842,497,792,754,141,544,582,645,663,484,767,654,810,909,2
163,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,4,3,3,3,4,2,3,4,2,2,2,3,1,1538,409,1168,794,13,383,1094,693,735,453,687,1054,522,1002,1
164,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,3,2,3,2,4,3,2,4,3,1,2,2,1,426,497,824,754,117,303,533,1005,1086,429,680,871,777,974,1
165,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,3,1,2,2,3,4,3,2,3,3,3,411,560,1512,442,286,688,629,533,1038,812,608,879,753,886,2
166,2,2,1,2,1,1,1,1,2,2,2,-1,1,2,2,1,1,2,-1,3,2,2,3,1,1,1,3,1,939,408,472,514,486,416,1493,1133,750,988,552,0,665,734,1
167,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,3,3,3,4,2,2,-1,3,3,1595,441,1160,555,702,352,637,645,750,420,1080,343,1201,662,2
168,2,2,2,2,2,2,2,1,2,2,2,2,1,2,4,4,2,3,3,4,3,4,3,4,2,3,3,4,691,569,776,275,317,544,518,501,622,452,792,510,546,525,2
169,2,2,1,2,1,2,2,1,2,2,1,2,2,2,3,3,1,3,2,4,3,3,4,2,1,2,2,4,770,489,360,698,21,360,830,493,815,1117,1007,1150,770,481,2
170,1,1,-1,2,2,1,1,2,1,1,1,1,1,1,3,2,2,3,2,4,2,1,1,3,1,2,2,-1,834,729,0,754,261,391,918,789,1279,645,1087,654,914,778,1
171,1,1,1,1,2,1,1,2,-1,1,1,1,1,1,4,4,4,3,1,4,3,3,2,4,-1,3,3,4,338,393,736,594,414,344,429,429,0,509,599,655,633,582,1
172,1,1,-1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,3,2,4,3,2,3,3,1,2,3,2,379,440,0,402,6,344,493,861,742,644,720,1063,177,534,1
173,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,3,3,3,1,3,2,2,2,3,1,347,552,776,643,94,408,757,733,726,772,816,735,881,510,2
174,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,4,1,4,3,3,1,3,3,2,451,473,664,723,142,376,1541,589,574,500,1360,295,1369,518,1
175,2,2,2,2,1,2,2,1,2,2,2,2,1,2,3,3,3,4,-1,4,2,4,3,2,2,3,4,2,571,449,576,251,605,472,494,501,790,452,576,535,874,449,2
176,2,2,2,1,1,2,2,1,-1,2,2,2,2,1,3,2,3,1,1,3,1,1,1,1,2,2,3,1,579,689,704,906,53,391,1078,917,0,781,943,582,554,593,2
177,1,2,2,1,1,1,2,2,2,1,1,2,2,-1,2,2,2,3,3,4,3,1,3,1,1,2,3,3,642,497,984,346,77,439,558,1221,782,1341,975,686,634,0,2
178,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,4,3,3,-1,4,3,4,3,1,1,3,4,1,594,392,816,338,301,328,558,653,710,1829,1296,430,777,422,2
179,2,2,1,2,2,2,2,2,2,1,-1,2,2,2,2,1,3,2,3,1,3,2,4,3,2,3,3,1,1314,536,1089,554,966,840,717,837,750,692,0,623,593,334,1
